#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_almada;Almada;Almada;Almada;;Almada;;;;;;;;;x
k_almada_adj;Almadan;;almader;;;;;;;;;;;x
k_darpatia;Darpatia;Darpatia;Darpatia;;Darpatia;;;;;;;;;x
k_darpatia_adj;Darpatian;;darpater;;;;;;;;;;;x
k_gareth;Gareth;Gareth;Gareth;;Gareth;;;;;;;;;x
k_gareth_adj;Garethian;;garether;;;;;;;;;;;x
k_kosch;Kosch;Kosch;Kosch;;Kosch;;;;;;;;;x
k_kosch_adj;Koschian;;koscher;;;;;;;;;;;x
k_meadows;Meadows;Meadows;Meadows;;Meadows;;;;;;;;;x
k_meadows_adj;Meadowsian;;meadowser;;;;;;;;;;;x
k_tobria;Tobria;Tobria;Tobria;;Tobria;;;;;;;;;x
k_tobria_adj;Tobrian;;tobrer;;;;;;;;;;;x
