#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
puniner;Rite Of Punin;Rite Of Punin;Puniner Ritus;;;;;;;;;;;x
twelve;Twelvegods;Twelvegods;Zwölfgötter;;;;;;;;;;;x
puniner_DESC;The pantheon of the Twelvegods is the most common and most influential religion in all of Aventuria, guiding spiritual life in almost the whole Middenrealm. It evolved out of a mixture of the gods and beliefs of settlers from the Gyldenland and native Aventurian peoples, particularly Tulamids. The pantheon in it's modern form was codified when, out of the chaos of the religious conflicts of the Dark Ages, emperor Silem-Horas decreed his famous edict named after himself in the year 98 before Bosparan's Fall. A pillar of support in all of life's hardships for the believer while acknowledging a great number of smaller cults as demigods allied to the true gods, the Twelve have been a force for good and peace throughout most of history. The twelve gods and their aspects are: \n §MPraios§! – Alveran's sovereign, God of sun, law and nobility\n §MRondra§! – Goddess of battle and honour\n §MEfferd§! – God of the seas and storms\n §MTravia§! – Goddess of family, home and hospitality\n §MBoron§! – God of death, sleep and dreams\n §MHesinde§! – Goddess of science and magic\n §MFirun§! – God of winter and hunt\n §MTsa§! – Goddess of peace, birth and fertility\n §MPhex§! – God of luck, trade and thievery\n §MPeraine§! – Goddess of agriculture and medicine\n §MIngerimm§! – God of smithing and craftsmanship\n §MRahja§! – Goddess of love, wine and music;The pantheon of the Twelvegods is the most common and most influential religion in all of Aventuria, guiding spiritual life in almost the whole Middenrealm. It evolved out of a mixture of the gods and beliefs of settlers from the Gyldenland and native Aventurian peoples, particularly Tulamids. The pantheon in it's modern form was codified when, out of the chaos of the religious conflicts of the Dark Ages, emperor Silem-Horas decreed his famous edict named after himself in the year 98 before Bosparan's Fall. A pillar of support in all of life's hardships for the believer while acknowledging a great number of smaller cults as demigods allied to the true gods, the Twelve have been a force for good and peace throughout most of history. The twelve gods and their aspects are: \n §MPraios§! – Alveran's sovereign, God of sun, law and nobility\n §MRondra§! – Goddess of battle and honour\n §MEfferd§! – God of the seas and storms\n §MTravia§! – Goddess of family, home and hospitality\n §MBoron§! – God of death, sleep and dreams\n §MHesinde§! – Goddess of science and magic\n §MFirun§! – God of winter and hunt\n §MTsa§! – Goddess of peace, birth and fertility\n §MPhex§! – God of luck, trade and thievery\n §MPeraine§! – Goddess of agriculture and medicine\n §MIngerimm§! – God of smithing and craftsmanship\n §MRahja§! – Goddess of love, wine and music;The pantheon of the Twelvegods is the most common and most influential religion in all of Aventuria, guiding spiritual life in almost the whole Middenrealm. It evolved out of a mixture of the gods and beliefs of settlers from the Gyldenland and native Aventurian peoples, particularly Tulamids. The pantheon in it's modern form was codified when, out of the chaos of the religious conflicts of the Dark Ages, emperor Silem-Horas decreed his famous edict named after himself in the year 98 before Bosparan's Fall. A pillar of support in all of life's hardships for the believer while acknowledging a great number of smaller cults as demigods allied to the true gods, the Twelve have been a force for good and peace throughout most of history. The twelve gods and their aspects are: \n §MPraios§! – Alveran's sovereign, God of sun, law and nobility\n §MRondra§! – Goddess of battle and honour\n §MEfferd§! – God of the seas and storms\n §MTravia§! – Goddess of family, home and hospitality\n §MBoron§! – God of death, sleep and dreams\n §MHesinde§! – Goddess of science and magic\n §MFirun§! – God of winter and hunt\n §MTsa§! – Goddess of peace, birth and fertility\n §MPhex§! – God of luck, trade and thievery\n §MPeraine§! – Goddess of agriculture and medicine\n §MIngerimm§! – God of smithing and craftsmanship\n §MRahja§! – Goddess of love, wine and music;;;;;;;;;;;x
HELIODAN;Heliodan;Heliodan;Heliodan;;;;;;;;;;;x
WAHRER_ORDNUNG;Keepers of the Order;Keepers of the Order;Die Wahrer der Ordnung;;;;;;;;;;;
title_wahrer_ordnung;Keeper of Order;Keeper of Order;Wahrer der Ordnung;;;;;;;;;;;x
best_candidate_title_wahrer_ordnung;My best Keeper of the Order candidate;My best Keeper of the Order candidate;Mein bester Wahrer der Ordnungs-Kandidat;;;;;;;;;;;x
best_candidate_title_wahrer_ordnung_DESC;My best Keeper of the Order candidate;My best Keeper of the Order candidate;Mein bester Wahrer der Ordnungs-Kandidat;;;;;;;;;;;x
expected_next_title_wahrer_ordnung;Expected next Keeper of the Order ;Expected next Keeper of the Order ;Erwarteter nächster Wahrer der Ordnung;;;;;;;;;;;x
expected_next_title_wahrer_ordnung_DESC;This character is most likely to be the next Keeper of the Order;This character is most likely to be the next Keeper of the Order;Dieser Charakter ist wahrscheinlich der nächste Wahrer der Ordnung;;;;;;;;;;;x
