PROV1;Raulsmark;Raulsmark;Raulsmark;;;;;;;;;x
PROV2;Retogau;Retogau;Retogau;;;;;;;;;x
PROV3;Ochsenblut;Ochsenblut;Ochsenblut;;;;;;;;;x
PROV4;Halsmark;Halsmark;Halsmark;;;;;;;;;x
PROV5;Alriksmark;Alriksmark;Alriksmark;;;;;;;;;x
PROV6;Gerbaldsmark;Gerbaldsmark;Gerbaldsmark;;;;;;;;;x
PROV7;Zagbar;Zagbar;Zagbar;;;;;;;;;x
PROV8;Halhof;Halhof;Halhof;;;;;;;;;x
PROV9;Höllenwall;Höllenwall;Höllenwall;;;;;;;;;x
PROV10;Falkenstein;Falkenstein;Falkenstein;;;;;;;;;x
PROV11;Eslamsgrund;Eslamsgrund;Eslamsgrund;;;;;;;;;x
PROV12;Dornensee;Dornensee;Dornensee;;;;;;;;;x
PROV13;Gallstein;Gallstein;Gallstein;;;;;;;;;x
PROV14;Waldfang;Waldfang;Waldfang;;;;;;;;;x
PROV15;Schwarztannen;Schwarztannen;Schwarztannen;;;;;;;;;x
PROV16;Syrrenholt;Syrrenholt;Syrrenholt;;;;;;;;;x
PROV17;Rubreth;Rubreth;Rubreth;;;;;;;;;x
PROV18;Randersburg;Randersburg;Randersburg;;;;;;;;;x
PROV19;Hirschfurten;Hirschfurten;Hirschfurten;;;;;;;;;x
PROV20;Schwanenbruch;Schwanenbruch;Schwanenbruch;;;;;;;;;x
PROV21;Serrinmoor;Serrinmoor;Serrinmoor;;;;;;;;;x
PROV22;Tannwirk;Tannwirk;Tannwirk;;;;;;;;;x
PROV23;Neerbusch;Neerbusch;Neerbusch;;;;;;;;;x
PROV24;Sertis;Sertis;Sertis;;;;;;;;;x
PROV25;Linara;Linara;Linara;;;;;;;;;x
PROV26;Silz;Silz;Silz;;;;;;;;;x
PROV27;Mardershöh;Mardershöh;Mardershöh;;;;;;;;;x
PROV28;Erlenstamm;Erlenstamm;Erlenstamm;;;;;;;;;x
PROV29;Ruchin;Ruchin;Ruchin;;;;;;;;;x
PROV30;Viehwiesen;Viehwiesen;Viehwiesen;;;;;;;;;x
PROV31;Ingerimmsschlund;Ingerimmsschlund;Ingerimmsschlund;;;;;;;;;x
PROV32;Hartsteen;Hartsteen;Hartsteen;;;;;;;;;x
PROV33;Feidewald;Feidewald;Feidewald;;;;;;;;;x
PROV34;Natzungen;Natzungen;Natzungen;;;;;;;;;x
PROV35;Bärenau;Bärenau;Bärenau;;;;;;;;;x
PROV36;Rabensbrück;Rabensbrück;Rabensbrück;;;;;;;;;x
PROV37;Hutt;Hutt;Hutt;;;;;;;;;x
PROV38;Reichsgau;Reichsgau;Reichsgau;;;;;;;;;x
PROV39;Aldenried;Aldenried;Aldenried;;;;;;;;;x
PROV40;Perrinmarsch;Perrinmarsch;Perrinmarsch;;;;;;;;;x
PROV41;Wasserburg;Wasserburg;Wasserburg;;;;;;;;;x
PROV42;Haselhain;Haselhain;Haselhain;;;;;;;;;x
PROV43;Gnitzenkuhl;Gnitzenkuhl;Gnitzenkuhl;;;;;;;;;x
PROV44;Weissbarûn;Weissbarûn;Weissbarûn;;;;;;;;;x
PROV45;Dürsten-Darrenfurt;Dürsten-Darrenfurt;Dürsten-Darrenfurt;;;;;;;;;x
PROV46;Sturmfels;Sturmfels;Sturmfels;;;;;;;;;x
PROV47;Brendiltal;Brendiltal;Brendiltal;;;;;;;;;x
PROV48;Finsterkamm;Finsterkamm;Finsterkamm;;;;;;;;;x
PROV48;Dubios;Dubios;Dubios;;;;;;;;;x
PROV49;Hexenhain;Hexenhain;Hexenhain;;;;;;;;;x
PROV49;Cres;Cres;Cres;;;;;;;;;x
PROV50;Zalgo;Zalgo;Zalgo;;;;;;;;;x
PROV50;Jurios;Jurios;Jurios;;;;;;;;;x
PROV51;Eslamsroden;Eslamsroden;Eslamsroden;;;;;;;;;x
PROV51;Kornhammer;Kornhammer;Kornhammer;;;;;;;;;x
PROV52;Dergelstein;Dergelstein;Dergelstein;;;;;;;;;x
PROV52;Selaque;Selaque;Selaque;;;;;;;;;x
PROV53;Feldharsch;Feldharsch;Feldharsch;;;;;;;;;x
PROV53;Schrotenstein;Schrotenstein;Schrotenstein;;;;;;;;;x
PROV54;Breitenbruck;Breitenbruck;Breitenbruck;;;;;;;;;x
PROV54;Ragathsquell;Ragathsquell;Ragathsquell;;;;;;;;;x
PROV55;Kressenburg;Kressenburg;Kressenburg;;;;;;;;;x
PROV55;Falado;Falado;Falado;;;;;;;;;x
PROV56;Quastenbroich;Quastenbroich;Quastenbroich;;;;;;;;;x
PROV56;Khahirios;Khahirios;Khahirios;;;;;;;;;x
PROV57;Greifenberg;Greifenberg;Greifenberg;;;;;;;;;x
PROV57;Franfeld;Franfeld;Franfeld;;;;;;;;;x
PROV58;Greifenfurt;Greifenfurt;Greifenfurt;;;;;;;;;x
PROV58;Yasamir;Yasamir;Yasamir;;;;;;;;;x
PROV59;Weihenhorst;Weihenhorst;Weihenhorst;;;;;;;;;x
PROV59;Bosquirien;Bosquirien;Bosquirien;;;;;;;;;x
PROV60;Hasenfeld;Hasenfeld;Hasenfeld;;;;;;;;;x
PROV60;Punin;Punin;Punin;;;;;;;;;x
PROV61;Dunkelsfarn;Dunkelsfarn;Dunkelsfarn;;;;;;;;;x
PROV61;Imrah;Imrah;Imrah;;;;;;;;;x
PROV62;Greifenhorst;Greifenhorst;Greifenhorst;;;;;;;;;x
PROV62;Brig-Lo;Brig-Lo;Brig-Lo;;;;;;;;;x
PROV63;Donfanger;Donfanger;Donfanger;;;;;;;;;x
PROV63;Nordhain;Nordhain;Nordhain;;;;;;;;;x
PROV64;Hesindelburg;Hesindelburg;Hesindelburg;;;;;;;;;x
PROV64;Artésa;Artésa;Artésa;;;;;;;;;x
PROV65;Helbrache;Helbrache;Helbrache;;;;;;;;;x
PROV65;Thangolforst;Thangolforst;Thangolforst;;;;;;;;;x
PROV66;Nebelstein;Nebelstein;Nebelstein;;;;;;;;;x
PROV66;Nemento;Nemento;Nemento;;;;;;;;;x
PROV67;Khabosa;Khabosa;Khabosa;;;;;;;;;x
PROV68;Taladur;Taladur;Taladur;;;;;;;;;x
PROV69;Kyrstollen;Kyrstollen;Kyrstollen;;;;;;;;;x
PROV70;Braast;Braast;Braast;;;;;;;;;x
PROV71;Bangour;Bangour;Bangour;;;;;;;;;x
PROV72;Jannbach;Jannbach;Jannbach;;;;;;;;;x
PROV73;Flogglond;Flogglond;Flogglond;;;;;;;;;x
PROV74;Hérrison;Hérrison;Hérrison;;;;;;;;;x
PROV75;Agum;Agum;Agum;;;;;;;;;x
PROV76;Inostal;Inostal;Inostal;;;;;;;;;x
PROV77;Geiersgau;Geiersgau;Geiersgau;;;;;;;;;x
PROV78;Brindâl;Brindâl;Brindâl;;;;;;;;;x
PROV79;Mesch;Mesch;Mesch;;;;;;;;;x
PROV80;Schelak;Schelak;Schelak;;;;;;;;;x
PROV81;Haffith;Haffith;Haffith;;;;;;;;;x
PROV82;Brigella;Brigella;Brigella;;;;;;;;;x
